SpoonWood03
0.0,11,0	Avatar/NVRPlayer/Head	Avatar/NVRPlayer/LeftHand	Avatar/NVRPlayer/RightHand	CookingEnvironment(Clone)/PanFrying	CookingEnvironment(Clone)/SpoonBig	CookingEnvironment(Clone)/SpoonWood03	CookingEnvironment(Clone)/Pan02	CookingEnvironment(Clone)/bowl	CookingEnvironment(Clone)/Wisp	CookingEnvironment(Clone)/chopsticks_C	CookingEnvironment(Clone)/spoon_B	CookingEnvironment(Clone)/ricebowl_A_c02
0.0219,11,1	-6.5812,1.6323,4.5566,356.0473,350.6161,2.8149	-6.7897,0.7766,5.0495,75.9978,315.1924,304.3792	-6.3225,1.1207,4.7708,10.381,30.2624,28.7155	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.331,1.1044,4.7438,334.7582,9.7726,74.9777	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.0446,11,1	-6.5812,1.6323,4.5567,356.081,350.6658,2.788	-6.7897,0.7766,5.0495,75.9952,315.1838,304.3689	-6.3243,1.1187,4.7697,11.5539,29.902,26.5979	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3337,1.1026,4.7429,335.1663,10.6607,74.3722	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.0687,11,1	-6.5811,1.6323,4.5567,356.0932,350.654,2.7658	-6.7897,0.7766,5.0495,76,315.1891,304.3741	-6.3305,1.1151,4.7688,12.152,29.1503,26.6886	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3378,1.0996,4.7414,335.6736,10.6612,74.0818	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.0911,11,1	-6.581,1.6322,4.5567,356.1105,350.6786,2.7489	-6.7897,0.7766,5.0495,76.0001,315.1857,304.3712	-6.3394,1.1108,4.7677,12.3813,28.3923,27.7867	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3442,1.0958,4.7398,336.2025,9.9159,74.5423	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.1329,11,1	-6.5809,1.6322,4.5568,356.1525,350.7701,2.6753	-6.7897,0.7766,5.0495,76.0015,315.186,304.3724	-6.3612,1.1026,4.7648,13.1447,25.5031,27.9702	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3629,1.0879,4.7364,337.0083,7.5527,74.922	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.1552,11,1	-6.5808,1.6322,4.5569,356.1923,350.7943,2.6333	-6.7897,0.7766,5.0495,76.0034,315.1953,304.3818	-6.376,1.0973,4.7631,15.037,22.9804,27.3151	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.3759,1.0845,4.7338,338.1055,5.9316,74.1973	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.1784,11,1	-6.5807,1.6321,4.557,356.2597,350.858,2.5187	-6.7897,0.7766,5.0495,76.0018,315.1902,304.3766	-6.3924,1.0922,4.7606,17.5562,19.656,26.4571	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.39,1.0815,4.7304,339.775,3.8415,72.9878	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.2005,11,1	-6.5805,1.6321,4.5571,356.2723,350.871,2.4589	-6.7897,0.7766,5.0495,76.0026,315.1913,304.3789	-6.4091,1.0881,4.7575,19.1952,15.8955,25.7014	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4039,1.0779,4.7273,341.2606,1.1916,71.7906	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.2216,11,1	-6.5804,1.632,4.5571,356.2756,350.8778,2.3701	-6.7897,0.7766,5.0495,76.0038,315.1925,304.3806	-6.4295,1.0868,4.7527,19.8284,10.371,24.0124	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4199,1.0753,4.7233,342.0256,357.5844,70.2771	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
0.244,11,1	-6.5803,1.632,4.5571,356.2243,350.8756,2.2493	-6.7897,0.7766,5.0495,76.0039,315.1868,304.3748	-6.4483,1.0861,4.7474,21.191,3.7767,21.3321	-5.3139,0.9155,5.4373,0.0089,300.0146,20.7011	-6.43,0.8592,4.9698,354.4538,0.0023,359.9181	-6.4351,1.0748,4.7186,342.7738,353.3547,68.018	-4.99,0.8746,5.211,-0.0001,0.0001,-0.0002	-5.828,0.8546,5.118,359.969,0.0023,359.9813	-6.2871,0.86,4.9709,354.8552,0.0397,359.7371	-6.635,0.8565,5.0701,359.7651,180.0045,0.0284	-6.7159,0.8554,5.0525,4.8005,179.9412,1.2107	-6.096,0.8534,5.07,0,89.9997,0
